filepath,n_forms,n_inputs,n_buttons,n_links,n_http_links,n_mailto_links,n_scripts,n_iframes,n_input_password,n_input_email,n_input_tel,text_len,kw_total,kw_login,kw_log_in,kw_entrar,kw_acessar,kw_senha,kw_password,kw_pix,kw_boleto,kw_cpf,kw_cartão,kw_atualizar,kw_update,kw_confirm,kw_confirmar,kw_verify,kw_verificar,kw_segurança,kw_security,kw_urgente,kw_urgency,kw_click,kw_clique,kw_conta,kw_account,kw_bank,kw_banco
datasets/evasion2/EvasionSet2/html/123av.com_phish_v1.html,5,16,9,84,23,0,6,0,7,1,0,1701,34,3,0,0,0,0,18,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,4,0,0
datasets/evasion2/EvasionSet2/html/123av.com_phish_v2.html,5,16,9,84,23,0,6,0,7,1,0,1701,34,3,0,0,0,0,18,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,4,0,0
datasets/evasion2/EvasionSet2/html/123tt.ru_phish_v1.html,1,3,0,547,0,0,24,0,0,0,0,18267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/123tt.ru_phish_v2.html,1,3,0,547,0,0,24,0,0,0,0,18267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/163.com_phish_v1.html,0,0,0,684,619,1,22,2,0,0,0,9144,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/163.com_phish_v2.html,0,0,0,684,619,1,22,2,0,0,0,9144,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/1c.ru_phish_v1.html,0,0,3,149,83,0,6,0,0,0,0,5595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/1c.ru_phish_v2.html,0,0,3,149,83,0,6,0,0,0,0,5595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/24h.com.vn_phish_v1.html,0,1,0,391,377,0,62,0,0,0,0,17552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/24h.com.vn_phish_v2.html,0,1,0,391,377,0,62,0,0,0,0,17552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/3bmeteo.com_phish_v1.html,1,2,3,278,9,0,21,0,0,0,0,5691,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
datasets/evasion2/EvasionSet2/html/3bmeteo.com_phish_v2.html,1,2,3,278,9,0,21,0,0,0,0,5691,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
datasets/evasion2/EvasionSet2/html/66lottery20.com_phish_v1.html,0,0,0,1,1,0,5,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/66lottery20.com_phish_v2.html,0,0,0,1,1,0,5,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/9animetv.to_phish_v1.html,4,9,5,106,3,0,9,0,3,0,0,9099,17,2,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,4,1,0
datasets/evasion2/EvasionSet2/html/9animetv.to_phish_v2.html,4,9,5,106,3,0,9,0,3,0,0,9099,17,2,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,4,1,0
datasets/evasion2/EvasionSet2/html/aajtak.in_phish_v1.html,0,7,0,433,424,0,90,4,0,0,0,16826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
datasets/evasion2/EvasionSet2/html/aajtak.in_phish_v2.html,0,7,0,433,424,0,90,4,0,0,0,16826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
datasets/evasion2/EvasionSet2/html/abc.es_phish_v1.html,0,1,24,378,245,0,23,0,0,0,0,13652,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
datasets/evasion2/EvasionSet2/html/abc.es_phish_v2.html,0,1,24,378,245,0,23,0,0,0,0,13652,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
datasets/evasion2/EvasionSet2/html/abola.pt_phish_v1.html,2,2,38,621,588,0,17,1,0,0,0,18234,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/abola.pt_phish_v2.html,2,2,38,621,588,0,17,1,0,0,0,18234,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/aboutads.info_phish_v1.html,0,0,1,31,5,0,31,0,0,0,0,1520,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
datasets/evasion2/EvasionSet2/html/aboutads.info_phish_v2.html,0,0,1,31,5,0,31,0,0,0,0,1520,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
datasets/evasion2/EvasionSet2/html/absher.sa_phish_v1.html,0,0,0,4,1,0,1,0,0,0,0,866,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/absher.sa_phish_v2.html,0,0,0,4,1,0,1,0,0,0,0,866,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/academia.edu_phish_v1.html,1,1,6,301,151,0,62,1,0,0,0,8452,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/academia.edu_phish_v2.html,1,1,6,301,151,0,62,1,0,0,0,8452,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/acm.org_phish_v1.html,2,3,0,358,101,0,25,3,0,0,0,17686,17,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,11,1,0,0
datasets/evasion2/EvasionSet2/html/acm.org_phish_v2.html,2,3,0,358,101,0,25,3,0,0,0,17686,17,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,11,1,0,0
datasets/evasion2/EvasionSet2/html/acs.org_phish_v1.html,1,1,4,159,32,2,11,0,0,0,0,5888,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
datasets/evasion2/EvasionSet2/html/acs.org_phish_v2.html,1,1,4,159,32,2,11,0,0,0,0,5888,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
datasets/evasion2/EvasionSet2/html/actu.fr_phish_v1.html,1,1,10,199,147,0,14,0,0,0,0,10861,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
datasets/evasion2/EvasionSet2/html/actu.fr_phish_v2.html,1,1,10,199,147,0,14,0,0,0,0,10861,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
datasets/evasion2/EvasionSet2/html/adblockplus.org_phish_v1.html,2,4,8,73,28,0,33,0,0,0,0,4521,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/adblockplus.org_phish_v2.html,2,4,8,73,28,0,33,0,0,0,0,4521,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/adjust.com_phish_v1.html,0,0,0,121,12,0,4,0,0,0,0,5671,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
datasets/evasion2/EvasionSet2/html/adjust.com_phish_v2.html,0,0,0,121,12,0,4,0,0,0,0,5671,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
datasets/evasion2/EvasionSet2/html/admanmedia.com_phish_v1.html,0,0,1,35,17,0,15,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/admanmedia.com_phish_v2.html,0,0,1,35,17,0,15,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/admin.ch_phish_v1.html,2,2,17,142,44,0,10,1,0,0,0,5307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/admin.ch_phish_v2.html,2,2,17,142,44,0,10,1,0,0,0,5307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/adroll.com_phish_v1.html,0,0,0,145,31,0,11,1,0,0,0,4343,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
datasets/evasion2/EvasionSet2/html/adroll.com_phish_v2.html,0,0,0,145,31,0,11,1,0,0,0,4343,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
datasets/evasion2/EvasionSet2/html/adsrvr.org_phish_v1.html,0,0,0,14,13,0,3,0,0,0,0,3337,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/adsrvr.org_phish_v2.html,0,0,0,14,13,0,3,0,0,0,0,3337,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/afternic.com_phish_v1.html,0,0,10,39,37,0,25,0,0,0,0,2202,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
datasets/evasion2/EvasionSet2/html/afternic.com_phish_v2.html,0,0,10,39,37,0,25,0,0,0,0,2202,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
datasets/evasion2/EvasionSet2/html/aftonbladet.se_phish_v1.html,0,0,2,39,3,1,17,1,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/aftonbladet.se_phish_v2.html,0,0,2,39,3,1,17,1,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/agora.io_phish_v1.html,0,0,2,195,54,0,29,4,0,0,0,12028,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
datasets/evasion2/EvasionSet2/html/agora.io_phish_v2.html,0,0,2,195,54,0,29,4,0,0,0,12028,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
datasets/evasion2/EvasionSet2/html/alidns.com_phish_v1.html,0,0,0,26,12,0,12,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/alidns.com_phish_v2.html,0,0,0,26,12,0,12,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/aljazeera.com_phish_v1.html,0,2,25,118,33,0,44,1,0,0,0,5607,8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,1,1,0
datasets/evasion2/EvasionSet2/html/aljazeera.com_phish_v2.html,0,2,25,118,33,0,44,1,0,0,0,5607,8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,1,1,0
datasets/evasion2/EvasionSet2/html/alura.com.br_phish_v1.html,2,2,35,296,80,0,44,1,0,0,0,21534,25,0,0,3,0,0,0,2,1,0,3,0,1,0,0,0,0,3,2,0,0,0,0,4,0,1,5
datasets/evasion2/EvasionSet2/html/alura.com.br_phish_v2.html,2,2,35,296,80,0,44,1,0,0,0,21534,25,0,0,3,0,0,0,2,1,0,3,0,1,0,0,0,0,3,2,0,0,0,0,4,0,1,5
datasets/evasion2/EvasionSet2/html/amazon.com.mx_phish_v1.html,2,4,0,20,0,0,38,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/amazon.com.mx_phish_v2.html,2,4,0,20,0,0,38,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/amazonalexa.com_phish_v1.html,2,12,21,167,64,0,76,0,0,0,0,13671,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,4,0,0
datasets/evasion2/EvasionSet2/html/amazonalexa.com_phish_v2.html,2,12,21,167,64,0,76,0,0,0,0,13671,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,4,0,0
datasets/evasion2/EvasionSet2/html/amazonaws.com_phish_v1.html,2,4,84,85,54,0,27,0,0,0,0,9721,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,5,0,0,3
datasets/evasion2/EvasionSet2/html/amazonaws.com_phish_v2.html,2,4,84,85,54,0,27,0,0,0,0,9721,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,5,0,0,3
datasets/evasion2/EvasionSet2/html/amazontrust.com_phish_v1.html,0,0,0,5,2,0,4,0,0,0,0,384,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
datasets/evasion2/EvasionSet2/html/amazontrust.com_phish_v2.html,0,0,0,5,2,0,4,0,0,0,0,384,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
datasets/evasion2/EvasionSet2/html/amazonvideo.com_phish_v1.html,69,137,76,45,0,0,53,0,0,0,0,2386,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
datasets/evasion2/EvasionSet2/html/amazonvideo.com_phish_v2.html,69,137,76,45,0,0,53,0,0,0,0,2386,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
datasets/evasion2/EvasionSet2/html/amd.com_phish_v1.html,0,0,38,350,238,0,12,0,0,0,0,11910,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
datasets/evasion2/EvasionSet2/html/amd.com_phish_v2.html,0,0,38,350,238,0,12,0,0,0,0,11910,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
datasets/evasion2/EvasionSet2/html/ameba.jp_phish_v1.html,1,1,17,140,133,0,8,1,0,0,0,2873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/ameba.jp_phish_v2.html,1,1,17,140,133,0,8,1,0,0,0,2873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/ameblo.jp_phish_v1.html,0,0,3,147,145,0,18,1,0,0,0,3786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/EvasionSet2/html/ameblo.jp_phish_v2.html,0,0,3,147,145,0,18,1,0,0,0,3786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
