filepath,n_img,n_svg,n_video,n_audio,n_canvas,n_css_links,n_icon_links,n_inline_styles,unique_classes
datasets/evasion2/EvasionSet2/html/123av.com_phish_v1.html,2,0,0,0,0,2,1,2,89
datasets/evasion2/EvasionSet2/html/123av.com_phish_v2.html,2,0,0,0,0,2,1,2,89
datasets/evasion2/EvasionSet2/html/123tt.ru_phish_v1.html,753,0,0,0,0,5,1,6,29
datasets/evasion2/EvasionSet2/html/123tt.ru_phish_v2.html,753,0,0,0,0,5,1,6,29
datasets/evasion2/EvasionSet2/html/163.com_phish_v1.html,59,0,0,0,0,2,1,22,287
datasets/evasion2/EvasionSet2/html/163.com_phish_v2.html,59,0,0,0,0,2,1,22,287
datasets/evasion2/EvasionSet2/html/1c.ru_phish_v1.html,15,13,1,0,0,1,0,3,96
datasets/evasion2/EvasionSet2/html/1c.ru_phish_v2.html,15,13,1,0,0,1,0,3,96
datasets/evasion2/EvasionSet2/html/24h.com.vn_phish_v1.html,130,87,0,0,0,0,1,262,408
datasets/evasion2/EvasionSet2/html/24h.com.vn_phish_v2.html,130,87,0,0,0,0,1,262,408
datasets/evasion2/EvasionSet2/html/3bmeteo.com_phish_v1.html,46,0,0,0,0,7,15,27,131
datasets/evasion2/EvasionSet2/html/3bmeteo.com_phish_v2.html,46,0,0,0,0,7,15,27,131
datasets/evasion2/EvasionSet2/html/66lottery20.com_phish_v1.html,0,0,0,0,0,1,1,2,6
datasets/evasion2/EvasionSet2/html/66lottery20.com_phish_v2.html,0,0,0,0,0,1,1,2,6
datasets/evasion2/EvasionSet2/html/9animetv.to_phish_v1.html,7,0,0,0,0,4,1,5,117
datasets/evasion2/EvasionSet2/html/9animetv.to_phish_v2.html,7,0,0,0,0,4,1,5,117
datasets/evasion2/EvasionSet2/html/aajtak.in_phish_v1.html,148,142,0,0,0,0,2,121,383
datasets/evasion2/EvasionSet2/html/aajtak.in_phish_v2.html,148,142,0,0,0,0,2,121,383
datasets/evasion2/EvasionSet2/html/abc.es_phish_v1.html,97,116,0,0,0,1,16,15,371
datasets/evasion2/EvasionSet2/html/abc.es_phish_v2.html,97,116,0,0,0,1,16,15,371
datasets/evasion2/EvasionSet2/html/abola.pt_phish_v1.html,271,128,0,0,0,1,4,8,529
datasets/evasion2/EvasionSet2/html/abola.pt_phish_v2.html,271,128,0,0,0,1,4,8,529
datasets/evasion2/EvasionSet2/html/aboutads.info_phish_v1.html,8,0,0,0,0,2,1,0,145
datasets/evasion2/EvasionSet2/html/aboutads.info_phish_v2.html,8,0,0,0,0,2,1,0,145
datasets/evasion2/EvasionSet2/html/absher.sa_phish_v1.html,23,0,0,0,0,1,1,0,28
datasets/evasion2/EvasionSet2/html/absher.sa_phish_v2.html,23,0,0,0,0,1,1,0,28
datasets/evasion2/EvasionSet2/html/academia.edu_phish_v1.html,147,8,0,0,0,9,15,270,187
datasets/evasion2/EvasionSet2/html/academia.edu_phish_v2.html,147,8,0,0,0,9,15,270,187
datasets/evasion2/EvasionSet2/html/acm.org_phish_v1.html,63,0,0,0,0,4,1,60,111
datasets/evasion2/EvasionSet2/html/acm.org_phish_v2.html,63,0,0,0,0,4,1,60,111
datasets/evasion2/EvasionSet2/html/acs.org_phish_v1.html,22,0,0,0,0,4,1,67,181
datasets/evasion2/EvasionSet2/html/acs.org_phish_v2.html,22,0,0,0,0,4,1,67,181
datasets/evasion2/EvasionSet2/html/actu.fr_phish_v1.html,70,0,0,0,0,2,5,10,149
datasets/evasion2/EvasionSet2/html/actu.fr_phish_v2.html,70,0,0,0,0,2,5,10,149
datasets/evasion2/EvasionSet2/html/adblockplus.org_phish_v1.html,29,4,0,0,0,5,0,0,92
datasets/evasion2/EvasionSet2/html/adblockplus.org_phish_v2.html,29,4,0,0,0,5,0,0,92
datasets/evasion2/EvasionSet2/html/adjust.com_phish_v1.html,23,53,0,0,0,12,0,252,389
datasets/evasion2/EvasionSet2/html/adjust.com_phish_v2.html,23,53,0,0,0,12,0,252,389
datasets/evasion2/EvasionSet2/html/admanmedia.com_phish_v1.html,37,0,0,0,0,7,1,42,104
datasets/evasion2/EvasionSet2/html/admanmedia.com_phish_v2.html,37,0,0,0,0,7,1,42,104
datasets/evasion2/EvasionSet2/html/admin.ch_phish_v1.html,18,0,0,0,0,3,11,1,155
datasets/evasion2/EvasionSet2/html/admin.ch_phish_v2.html,18,0,0,0,0,3,11,1,155
datasets/evasion2/EvasionSet2/html/adroll.com_phish_v1.html,28,7,0,0,0,2,1,1,86
datasets/evasion2/EvasionSet2/html/adroll.com_phish_v2.html,28,7,0,0,0,2,1,1,86
datasets/evasion2/EvasionSet2/html/adsrvr.org_phish_v1.html,2,0,0,0,0,2,0,5,11
datasets/evasion2/EvasionSet2/html/adsrvr.org_phish_v2.html,2,0,0,0,0,2,0,5,11
datasets/evasion2/EvasionSet2/html/afternic.com_phish_v1.html,17,24,0,0,0,4,1,116,150
datasets/evasion2/EvasionSet2/html/afternic.com_phish_v2.html,17,24,0,0,0,4,1,116,150
datasets/evasion2/EvasionSet2/html/aftonbladet.se_phish_v1.html,30,22,0,0,0,0,15,32,145
datasets/evasion2/EvasionSet2/html/aftonbladet.se_phish_v2.html,30,22,0,0,0,0,15,32,145
datasets/evasion2/EvasionSet2/html/agora.io_phish_v1.html,182,48,0,0,0,2,2,226,428
datasets/evasion2/EvasionSet2/html/agora.io_phish_v2.html,182,48,0,0,0,2,2,226,428
datasets/evasion2/EvasionSet2/html/alidns.com_phish_v1.html,26,4,0,0,0,1,1,0,305
datasets/evasion2/EvasionSet2/html/alidns.com_phish_v2.html,26,4,0,0,0,1,1,0,305
