filepath,n_forms,n_inputs,n_buttons,n_links,n_http_links,n_mailto_links,n_scripts,n_iframes,n_input_password,n_input_email,n_input_tel,text_len,kw_total,kw_login,kw_log_in,kw_entrar,kw_acessar,kw_senha,kw_password,kw_pix,kw_boleto,kw_cpf,kw_cartão,kw_atualizar,kw_update,kw_confirm,kw_confirmar,kw_verify,kw_verificar,kw_segurança,kw_security,kw_urgente,kw_urgency,kw_click,kw_clique,kw_conta,kw_account,kw_bank,kw_banco
datasets/evasion2/CleanSet2/html/123av.com_clean.html,5,16,9,84,23,0,6,0,7,1,0,1701,34,3,0,0,0,0,18,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,4,0,0
datasets/evasion2/CleanSet2/html/123tt.ru_clean.html,1,3,0,547,0,0,24,0,0,0,0,18267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/CleanSet2/html/163.com_clean.html,0,0,0,684,619,1,22,2,0,0,0,9144,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/CleanSet2/html/1c.ru_clean.html,0,0,3,149,83,0,6,0,0,0,0,5595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/CleanSet2/html/24h.com.vn_clean.html,0,1,0,391,377,0,62,0,0,0,0,17552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
datasets/evasion2/CleanSet2/html/3bmeteo.com_clean.html,1,2,3,278,9,0,21,0,0,0,0,5691,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
datasets/evasion2/CleanSet2/html/66lottery20.com_clean.html,0,0,0,1,1,0,5,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasets/evasion2/CleanSet2/html/9animetv.to_clean.html,4,9,5,106,3,0,9,0,3,0,0,9099,17,2,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,4,1,0
datasets/evasion2/CleanSet2/html/aajtak.in_clean.html,0,7,0,433,424,0,90,4,0,0,0,16826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
datasets/evasion2/CleanSet2/html/abc.es_clean.html,0,1,24,378,245,0,23,0,0,0,0,13652,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
