filepath,n_img,n_svg,n_video,n_audio,n_canvas,n_css_links,n_icon_links,n_inline_styles,unique_classes
datasets/evasion2/CleanSet2/html/123av.com_clean.html,2,0,0,0,0,2,1,2,89
datasets/evasion2/CleanSet2/html/123tt.ru_clean.html,753,0,0,0,0,5,1,6,29
datasets/evasion2/CleanSet2/html/163.com_clean.html,59,0,0,0,0,2,1,22,287
datasets/evasion2/CleanSet2/html/1c.ru_clean.html,15,13,1,0,0,1,0,3,96
datasets/evasion2/CleanSet2/html/24h.com.vn_clean.html,130,87,0,0,0,0,1,262,408
datasets/evasion2/CleanSet2/html/3bmeteo.com_clean.html,46,0,0,0,0,7,15,27,131
datasets/evasion2/CleanSet2/html/66lottery20.com_clean.html,0,0,0,0,0,1,1,2,6
datasets/evasion2/CleanSet2/html/9animetv.to_clean.html,7,0,0,0,0,4,1,5,117
datasets/evasion2/CleanSet2/html/aajtak.in_clean.html,148,142,0,0,0,0,2,121,383
datasets/evasion2/CleanSet2/html/abc.es_clean.html,97,116,0,0,0,1,16,15,371
datasets/evasion2/CleanSet2/html/abola.pt_clean.html,271,128,0,0,0,1,4,8,529
datasets/evasion2/CleanSet2/html/aboutads.info_clean.html,8,0,0,0,0,2,1,0,145
datasets/evasion2/CleanSet2/html/absher.sa_clean.html,23,0,0,0,0,1,1,0,28
datasets/evasion2/CleanSet2/html/academia.edu_clean.html,147,8,0,0,0,9,15,270,187
datasets/evasion2/CleanSet2/html/acm.org_clean.html,63,0,0,0,0,4,1,60,111
datasets/evasion2/CleanSet2/html/acs.org_clean.html,22,0,0,0,0,4,1,67,181
datasets/evasion2/CleanSet2/html/actu.fr_clean.html,70,0,0,0,0,2,5,10,149
datasets/evasion2/CleanSet2/html/adblockplus.org_clean.html,29,4,0,0,0,5,0,0,92
datasets/evasion2/CleanSet2/html/adjust.com_clean.html,23,53,0,0,0,12,0,252,389
datasets/evasion2/CleanSet2/html/admanmedia.com_clean.html,37,0,0,0,0,7,1,42,104
datasets/evasion2/CleanSet2/html/admin.ch_clean.html,18,0,0,0,0,3,11,1,155
datasets/evasion2/CleanSet2/html/adroll.com_clean.html,28,7,0,0,0,2,1,1,86
datasets/evasion2/CleanSet2/html/adsrvr.org_clean.html,2,0,0,0,0,2,0,5,11
datasets/evasion2/CleanSet2/html/afternic.com_clean.html,17,24,0,0,0,4,1,116,150
datasets/evasion2/CleanSet2/html/aftonbladet.se_clean.html,30,22,0,0,0,0,15,32,145
datasets/evasion2/CleanSet2/html/agora.io_clean.html,182,48,0,0,0,2,2,226,428
datasets/evasion2/CleanSet2/html/alidns.com_clean.html,26,4,0,0,0,1,1,0,305
datasets/evasion2/CleanSet2/html/aljazeera.com_clean.html,16,40,0,1,0,10,1,7,284
datasets/evasion2/CleanSet2/html/alura.com.br_clean.html,109,25,0,0,0,34,1,31,414
datasets/evasion2/CleanSet2/html/amazon.com.mx_clean.html,11,0,0,0,0,2,1,11,122
datasets/evasion2/CleanSet2/html/amazonalexa.com_clean.html,44,0,11,0,0,23,0,333,335
datasets/evasion2/CleanSet2/html/amazonaws.com_clean.html,4,71,0,0,0,12,6,165,703
datasets/evasion2/CleanSet2/html/amazontrust.com_clean.html,1,0,0,0,0,1,0,0,8
datasets/evasion2/CleanSet2/html/amazonvideo.com_clean.html,17,22,0,0,0,8,16,28,156
datasets/evasion2/CleanSet2/html/amd.com_clean.html,35,0,0,0,0,6,2,8,256
datasets/evasion2/CleanSet2/html/ameba.jp_clean.html,83,28,0,0,0,1,0,58,250
datasets/evasion2/CleanSet2/html/ameblo.jp_clean.html,126,23,0,0,0,3,2,3,178
datasets/evasion2/CleanSet2/html/americanexpress.com_clean.html,13,8,0,0,0,1,1,6,206
datasets/evasion2/CleanSet2/html/amzn.to_clean.html,14,0,0,0,0,2,1,10,141
datasets/evasion2/CleanSet2/html/animanch.com_clean.html,2,0,0,0,0,8,2,43,290
datasets/evasion2/CleanSet2/html/aniview.com_clean.html,53,0,0,0,0,45,1,31,669
datasets/evasion2/CleanSet2/html/aniwatchtv.to_clean.html,8,0,0,0,0,3,7,1,84
datasets/evasion2/CleanSet2/html/anydesk.com_clean.html,95,0,0,0,0,4,5,8,304
datasets/evasion2/CleanSet2/html/apache.org_clean.html,49,0,0,0,0,6,15,1,110
datasets/evasion2/CleanSet2/html/apnews.com_clean.html,157,361,219,0,0,2,3,26,226
datasets/evasion2/CleanSet2/html/appcenter.ms_clean.html,7,1,0,0,0,1,0,2,49
datasets/evasion2/CleanSet2/html/applovin.com_clean.html,3,10,0,0,0,1,1,6,168
datasets/evasion2/CleanSet2/html/appsflyer.com_clean.html,31,1,0,0,0,12,3,3,371
datasets/evasion2/CleanSet2/html/arabx.cam_clean.html,31,0,0,0,0,2,6,50,57
datasets/evasion2/CleanSet2/html/archiveofourown.org_clean.html,1,2,0,0,0,6,0,0,69
datasets/evasion2/CleanSet2/html/argos.co.uk_clean.html,43,48,0,0,0,3,0,45,345
datasets/evasion2/CleanSet2/html/arstechnica.com_clean.html,61,129,0,0,0,4,3,5,669
datasets/evasion2/CleanSet2/html/arxiv.org_clean.html,4,7,0,0,0,3,4,13,51
datasets/evasion2/CleanSet2/html/as.com_clean.html,179,32,0,0,0,1,6,0,216
datasets/evasion2/CleanSet2/html/asu.edu_clean.html,24,4,0,0,0,2,1,5,221
datasets/evasion2/CleanSet2/html/asuracomic.net_clean.html,126,310,0,0,0,5,1,339,457
datasets/evasion2/CleanSet2/html/atlassian.net_clean.html,62,22,0,0,0,1,4,141,279
datasets/evasion2/CleanSet2/html/attn.tv_clean.html,120,0,0,0,0,1,2,1,323
datasets/evasion2/CleanSet2/html/aucey.com_clean.html,3,0,0,0,0,1,0,1,23
datasets/evasion2/CleanSet2/html/avast.com_clean.html,209,0,0,0,0,21,2,74,491
datasets/evasion2/CleanSet2/html/avira.com_clean.html,10,0,0,0,0,2,3,3,367
datasets/evasion2/CleanSet2/html/az24.vn_clean.html,13,0,0,0,0,1,1,10,193
datasets/evasion2/CleanSet2/html/aznude.com_clean.html,212,623,0,0,0,3,1,4,188
datasets/evasion2/CleanSet2/html/azure.net_clean.html,99,2,0,0,0,26,1,35,392
datasets/evasion2/CleanSet2/html/b-cdn.net_clean.html,107,1,1,0,0,1,9,72,258
datasets/evasion2/CleanSet2/html/bakusai.com_clean.html,5,0,1,0,0,0,2,3,63
datasets/evasion2/CleanSet2/html/bato.to_clean.html,114,0,0,0,0,5,2,4,136
datasets/evasion2/CleanSet2/html/battwo.com_clean.html,114,0,0,0,0,5,2,4,136
datasets/evasion2/CleanSet2/html/bb2r.com_clean.html,1,0,0,0,0,1,0,0,6
datasets/evasion2/CleanSet2/html/beeline.ru_clean.html,29,5,0,0,0,5,4,92,210
datasets/evasion2/CleanSet2/html/berkeley.edu_clean.html,27,0,1,0,0,5,1,10,207
datasets/evasion2/CleanSet2/html/betika.com_clean.html,1,0,0,0,0,3,6,1,3
datasets/evasion2/CleanSet2/html/betway.co.za_clean.html,0,0,0,0,0,3,4,0,0
datasets/evasion2/CleanSet2/html/bfmtv.com_clean.html,310,29,0,0,0,5,8,8,204
