filepath,n_img,n_svg,n_video,n_audio,n_canvas,n_css_links,n_icon_links,n_inline_styles,unique_classes
datasets/CleanSet1/html/123av.com_clean.html,2,0,0,0,0,2,1,2,89
datasets/CleanSet1/html/163.com_clean.html,59,0,0,0,0,2,1,22,287
datasets/CleanSet1/html/166.com_clean.html,1,0,0,0,0,0,0,4,0
datasets/CleanSet1/html/1c.ru_clean.html,15,13,1,0,0,1,0,3,96
datasets/CleanSet1/html/1drv.com_clean.html,2,0,0,0,0,3,1,0,83
datasets/CleanSet1/html/2gis.com_clean.html,6,32,0,0,0,0,2,32,128
datasets/CleanSet1/html/360.cn_clean.html,181,0,0,0,0,3,2,39,169
datasets/CleanSet1/html/360safe.com_clean.html,124,0,0,0,0,3,1,23,144
datasets/CleanSet1/html/360yield.com_clean.html,0,0,0,0,0,6,0,0,0
datasets/CleanSet1/html/3bmeteo.com_clean.html,46,0,0,0,0,7,15,27,131
datasets/CleanSet1/html/3lift.com_clean.html,0,0,0,0,0,0,0,0,0
datasets/CleanSet1/html/66lottery20.com_clean.html,0,0,0,0,0,1,1,2,6
datasets/CleanSet1/html/9animetv.to_clean.html,7,0,0,0,0,4,1,5,117
datasets/CleanSet1/html/a-mo.net_clean.html,0,0,0,0,0,0,0,0,0
datasets/CleanSet1/html/aajtak.in_clean.html,148,142,0,0,0,0,2,121,383
datasets/CleanSet1/html/abc.es_clean.html,97,116,0,0,0,1,16,15,371
datasets/CleanSet1/html/abc.net.au_clean.html,36,54,0,0,0,7,4,43,339
datasets/CleanSet1/html/abola.pt_clean.html,271,128,0,0,0,1,4,8,529
datasets/CleanSet1/html/about.com_clean.html,2,6,0,0,0,9,5,10,65
datasets/CleanSet1/html/aboutads.info_clean.html,8,0,0,0,0,2,1,0,145
datasets/CleanSet1/html/absher.sa_clean.html,23,0,0,0,0,1,1,0,28
datasets/CleanSet1/html/academia.edu_clean.html,147,8,0,0,0,9,15,270,187
datasets/CleanSet1/html/accuweather.com_clean.html,3,42,0,0,0,4,0,2,131
datasets/CleanSet1/html/acesso.gov.br_clean.html,0,0,0,0,0,8,1,0,0
datasets/CleanSet1/html/acm.org_clean.html,63,0,0,0,0,4,1,60,111
datasets/CleanSet1/html/acs.org_clean.html,22,0,0,0,0,4,1,67,181
datasets/CleanSet1/html/actu.fr_clean.html,70,0,0,0,0,2,5,10,149
datasets/CleanSet1/html/adblockplus.org_clean.html,29,4,0,0,0,5,0,0,92
datasets/CleanSet1/html/addtoany.com_clean.html,0,3,0,0,0,2,2,0,68
datasets/CleanSet1/html/adjust.com_clean.html,23,53,0,0,0,12,0,252,389
datasets/CleanSet1/html/admanmedia.com_clean.html,37,0,0,0,0,7,1,42,104
datasets/CleanSet1/html/admin.ch_clean.html,18,0,0,0,0,3,11,1,155
datasets/CleanSet1/html/adobe.io_clean.html,18,11,0,0,0,0,2,50,205
datasets/CleanSet1/html/adriver.ru_clean.html,3,4,0,0,0,19,3,8,92
datasets/CleanSet1/html/adroll.com_clean.html,28,7,0,0,0,2,1,1,86
datasets/CleanSet1/html/adsafeprotected.com_clean.html,0,0,0,0,0,0,0,0,0
datasets/CleanSet1/html/adsrvr.org_clean.html,2,0,0,0,0,2,0,5,11
datasets/CleanSet1/html/adtrafficquality.google_clean.html,0,16,0,0,0,3,4,1,103
datasets/CleanSet1/html/afternic.com_clean.html,17,24,0,0,0,4,1,116,150
datasets/CleanSet1/html/aftonbladet.se_clean.html,30,22,0,0,0,0,15,32,145
datasets/CleanSet1/html/agoda.com_clean.html,0,0,0,0,0,3,1,0,8
datasets/CleanSet1/html/agora.io_clean.html,182,48,0,0,0,2,2,226,428
datasets/CleanSet1/html/airbnb.com_clean.html,1,7,3,0,0,1,8,111,715
datasets/CleanSet1/html/alibaba.com_clean.html,6,1,0,0,0,0,1,91,27
datasets/CleanSet1/html/alidns.com_clean.html,26,4,0,0,0,1,1,0,305
datasets/CleanSet1/html/aliexpress.com_clean.html,0,0,0,0,0,2,1,8,44
datasets/CleanSet1/html/alipaydns.com_clean.html,1,0,0,0,0,0,0,2,0
datasets/CleanSet1/html/aliyun.com_clean.html,5,8,0,0,0,4,1,22,169
datasets/CleanSet1/html/allyonostore.com_clean.html,76,0,0,0,0,0,4,3,61
datasets/CleanSet1/html/alphonso.tv_clean.html,0,0,0,0,0,11,4,0,127
datasets/CleanSet1/html/alura.com.br_clean.html,109,25,0,0,0,34,1,31,414
datasets/CleanSet1/html/amagi.tv_clean.html,0,0,0,0,0,0,0,0,0
datasets/CleanSet1/html/amazon.ca_clean.html,136,0,0,0,0,6,1,174,478
datasets/CleanSet1/html/amazon.co.jp_clean.html,40,0,0,0,0,6,1,30,335
datasets/CleanSet1/html/amazon.co.uk_clean.html,1,0,0,0,0,1,0,2,31
datasets/CleanSet1/html/amazon.com.au_clean.html,83,0,0,0,0,6,1,234,365
datasets/CleanSet1/html/amazon.com.br_clean.html,170,0,0,0,0,6,1,224,480
datasets/CleanSet1/html/amazon.com.mx_clean.html,11,0,0,0,0,2,1,11,122
datasets/CleanSet1/html/amazon.com.tr_clean.html,23,0,0,0,0,6,1,22,239
datasets/CleanSet1/html/amazon.com_clean.html,1,0,0,0,0,1,0,2,31
datasets/CleanSet1/html/amazon.de_clean.html,1,0,0,0,0,1,0,2,31
datasets/CleanSet1/html/amazon.eg_clean.html,29,0,0,0,0,6,1,26,249
datasets/CleanSet1/html/amazon.es_clean.html,1,0,0,0,0,1,0,2,31
datasets/CleanSet1/html/amazon.fr_clean.html,1,0,0,0,0,1,0,2,31
datasets/CleanSet1/html/amazon.in_clean.html,1,0,0,0,0,1,0,2,31
datasets/CleanSet1/html/amazon.it_clean.html,1,0,0,0,0,1,0,2,31
datasets/CleanSet1/html/amazonalexa.com_clean.html,44,0,11,0,0,23,0,333,335
